,Symbol,Name,LastSale,Sector
552,CPB,Campbell Soup Company,41.21,Consumer Non-Durables
553,CWH,"Camping World Holdings, Inc.",10.8,Consumer Durables
554,GOOS,Canada Goose Holdings Inc.,42.21,Consumer Non-Durables
555,CM,Canadian Imperial Bank of Commerce,75.86,Finance
556,CNI,Canadian National Railway Company,91.27,Transportation
557,CNQ,Canadian Natural Resources Limited,23.14,Energy
558,CP,Canadian Pacific Railway Limited,228.17,Transportation
559,CANG,Cango Inc.,6.0,Technology
560,CNNE,"Cannae Holdings, Inc.",28.6,Consumer Services
561,CTST,CannTrust Holdings Inc.,2.17,Consumer Durables
562,CAJ,"Canon, Inc.",26.53,Miscellaneous
563,CGC,Canopy Growth Corporation,31.38,Consumer Durables
564,CMD,Cantel Medical Corp.,91.29,Health Care
565,COF,Capital One Financial Corporation,86.62,Finance
566,COF^C,Capital One Financial Corporation,25.55,Finance
572,CSU,Capital Senior Living Corporation,4.94,Health Care
573,BXMT,"Capital Trust, Inc.",34.66,Consumer Services
574,CPRI,Capri Holdings Limited,31.71,Consumer Non-Durables
575,CMO,Capstead Mortgage Corporation,8.16,Consumer Services
577,CRR,"Carbo Ceramics, Inc.",1.26,Capital Goods
578,CAH,"Cardinal Health, Inc.",45.55,Health Care
579,CRCM,"Care.com, Inc.",10.22,Consumer Services
580,CSL,Carlisle Companies Incorporated,137.09,Basic Industries
581,KMX,CarMax Inc,83.93,Consumer Durables
582,CCL,Carnival Corporation,45.21,Consumer Services
583,CUK,Carnival Corporation,43.72,Consumer Services
584,CRS,Carpenter Technology Corporation,45.84,Basic Industries
585,CSV,"Carriage Services, Inc.",22.5,Consumer Services
586,CARS,Cars.com Inc.,11.82,Technology
587,CRI,"Carter&#39;s, Inc.",86.93,Consumer Non-Durables
588,CVNA,Carvana Co.,60.97,Consumer Durables
589,CSLT,"Castlight Health, inc.",1.58,Technology
590,CTLT,"Catalent, Inc.",53.47,Health Care
591,CTT           ,"CatchMark Timber Trust, Inc.",9.58,Consumer Services
592,CAT,"Caterpillar, Inc.",121.65,Capital Goods
593,CATO,Cato Corporation (The),13.47,Consumer Services
594,CBZ,"CBIZ, Inc.",22.83,Miscellaneous
595,CBL,"CBL & Associates Properties, Inc.",0.9312,Consumer Services
600,CBRE,"CBRE Group, Inc.",50.79,Finance
601,CBS,CBS Corporation,49.06,Consumer Services
604,FUN,"Cedar Fair, L.P.",49.34,Consumer Services
605,CDR,"Cedar Realty Trust, Inc.",2.48,Consumer Services
608,CE,Celanese Corporation,103.19,Basic Industries
609,CLS,"Celestica, Inc.",6.78,Technology
610,CEL,"Cellcom Israel, Ltd.",2.65,Public Utilities
611,CPAC,Cementos Pacasmayo S.A.A.,8.65,Capital Goods
612,CX,Cemex S.A.B. de C.V.,3.1,Capital Goods
613,CVE,Cenovus Energy Inc,8.45,Energy
614,CNC,Centene Corporation,48.52,Health Care
616,CNP,"CenterPoint Energy, Inc.",28.55,Public Utilities
618,EBR,Centrais Electricas Brasileiras S.A.- Eletrobras,10.64,Public Utilities
620,CEPU,Central Puerto S.A.,8.45,Public Utilities
621,CCS,"Century Communities, Inc.",25.94,Capital Goods
622,CTL,"CenturyLink, Inc.",11.79,Public Utilities
623,CDAY,Ceridian HCM Holding Inc.,50.73,Technology
624,CF,"CF Industries Holdings, Inc.",50.74,Basic Industries
625,GIB,CGI Inc.,74.63,Consumer Services
626,ECOM          ,ChannelAdvisor Corporation,8.59,Technology
627,CHAP,"Chaparral Energy, Inc.",2.84,Energy
628,CHRA,"Charah Solutions, Inc.",4.88,Basic Industries
629,CRL,"Charles River Laboratories International, Inc.",126.51,Health Care
630,CLDT,Chatham Lodging Trust (REIT),17.11,Consumer Services
631,CMCM,Cheetah Mobile Inc.,3.09,Technology
632,CHGG,"Chegg, Inc.",43.12,Consumer Services
633,CHE,Chemed Corp.,406.66,Health Care
634,CC,Chemours Company (The),13.78,Basic Industries
635,CHMI,Cherry Hill Mortgage Investment Corporation,14.92,Consumer Services
638,CHK,Chesapeake Energy Corporation,1.56,Energy
640,CHKR,Chesapeake Granite Wash Trust,1.0233,Energy
641,CHSP,Chesapeake Lodging Trust,26.17,Consumer Services
642,CPK,Chesapeake Utilities Corporation,90.8,Public Utilities
643,CVX,Chevron Corporation,118.74,Energy
644,CHWY,"Chewy, Inc.",32.21,Consumer Services
645,CHS,"Chico&#39;s FAS, Inc.",2.92,Consumer Services
646,CIM,Chimera Investment Corporation,19.1,Consumer Services
651,DL,China Distance Education Holdings Limited,4.69,Consumer Services
652,CEA,China Eastern Airlines Corporation Ltd.,23.81,Transportation
654,CGA,"China Green Agriculture, Inc.",4.1,Basic Industries
655,LFC,China Life Insurance Company Limited,11.71,Finance
656,CHL,China Mobile (Hong Kong) Ltd.,40.14,Public Utilities
657,COE,China Online Education Group,5.3,Consumer Services
658,SNP,China Petroleum & Chemical Corporation,60.29,Energy
659,XRF,China Rapid Finance Limited,0.493,Finance
660,ZNH,China Southern Airlines Company Limited,28.6,Transportation
661,CHA,China Telecom Corp Ltd,42.56,Public Utilities
662,CHU,China Unicom (Hong Kong) Ltd,9.16,Public Utilities
663,CYD,China Yuchai International Limited,13.32,Energy
664,CMG,"Chipotle Mexican Grill, Inc.",780.21,Consumer Services
665,CHH,"Choice Hotels International, Inc.",81.34,Consumer Services
666,CB,Chubb Limited,148.49,Finance
667,CHT,"Chunghwa Telecom Co., Ltd.",33.71,Public Utilities
668,CHD,"Church & Dwight Company, Inc.",74.14,Basic Industries
669,CCX,Churchill Capital Corp II,9.93,Finance
672,CIEN,Ciena Corporation,41.25,Public Utilities
673,CI,Cigna Corporation,159.0,Health Care
674,XEC,Cimarex Energy Co,44.92,Energy
675,CBB,Cincinnati Bell Inc,3.41,Public Utilities
677,CNK,Cinemark Holdings Inc,39.57,Consumer Services
678,CINR,Ciner Resources LP,16.13,Basic Industries
679,CIR,"CIRCOR International, Inc.",37.39,Capital Goods
680,CISN,Cision Ltd.,9.78,Technology
681,CIT,CIT Group Inc (DEL),45.23,Finance
682,BLW,Citigroup Inc.,15.29,Finance
683,C,Citigroup Inc.,65.18,Finance
685,C^K,Citigroup Inc.,28.0434,Finance
686,C^N,Citigroup Inc.,26.78,Finance
688,CFG,"Citizens Financial Group, Inc.",34.62,Finance
690,CIA,"Citizens, Inc.",6.76,Finance
691,CIO,"City Office REIT, Inc.",12.55,Consumer Services
693,CVEO,Civeo Corporation,1.55,Consumer Services
694,CCC,Clarivate Analytics Plc,15.68,Technology
695,CLH,"Clean Harbors, Inc.",73.22,Basic Industries
696,CCO,"Clear Channel Outdoor Holdings, Inc.",2.5,Consumer Services
700,CLW,Clearwater Paper Corporation,19.61,Basic Industries
701,CWEN,"Clearway Energy, Inc.",17.64,Public Utilities
703,CLF,Cleveland-Cliffs Inc.,8.83,Basic Industries
704,CLPR,Clipper Realty Inc.,10.53,Consumer Services
705,CLX,Clorox Company (The),155.03,Consumer Durables
706,CLDR,"Cloudera, Inc.",6.48,Technology
707,CMS,CMS Energy Corporation,58.22,Public Utilities
708,CMS^B,CMS Energy Corporation,104.5,Public Utilities
709,CMSA,CMS Energy Corporation,26.25,Public Utilities
